turns_in_diag	first_utt_idx_in_diag	human_response	prompt	corpus	sample_index
114	0	B:Uh-huh.	A:Okay, uh,. could you tell me what you think contributes most to, uh, air pollution?\nB:Well, it's hard to say.. I mean, while it's certainly the case that things like automobiles and factories, uh, pollute a lot, uh, if you look at how much pollution is say kicked up by an active volcano, uh, it's certainly less than clear that anything man can do in this sort of scale of things has much effect at all.. What do you think?\nA:Um, well, you talked about, uh, volcanos.. I'm not sure how many active volcanos there are now, and, and what the amount of material that they do, uh, put into the atmosphere.. I think probably the greatest cause is, uh, vehicles, especially around cities.\nB:Uh-huh.\nA:Um, uh, do you live right in the city itself?\nB:No,. I'm more out in the suburbs,. but I certainly work near a city.\nA:Okay,. so Can you notice,\nB:How about you?\nA:well it's, it's,. I live in a rural area.	switchboard	0
114	1	A:It's mainly farms and, uh, no heavy industry.. Attleboro, itself,. I live in Rhode Island.	B:Well, it's hard to say.. I mean, while it's certainly the case that things like automobiles and factories, uh, pollute a lot, uh, if you look at how much pollution is say kicked up by an active volcano, uh, it's certainly less than clear that anything man can do in this sort of scale of things has much effect at all.. What do you think?\nA:Um, well, you talked about, uh, volcanos.. I'm not sure how many active volcanos there are now, and, and what the amount of material that they do, uh, put into the atmosphere.. I think probably the greatest cause is, uh, vehicles, especially around cities.\nB:Uh-huh.\nA:Um, uh, do you live right in the city itself?\nB:No,. I'm more out in the suburbs,. but I certainly work near a city.\nA:Okay,. so Can you notice,\nB:How about you?\nA:well it's, it's,. I live in a rural area.\nB:Uh-huh.	switchboard	1
114	2	B:Oh, I see.	A:Um, well, you talked about, uh, volcanos.. I'm not sure how many active volcanos there are now, and, and what the amount of material that they do, uh, put into the atmosphere.. I think probably the greatest cause is, uh, vehicles, especially around cities.\nB:Uh-huh.\nA:Um, uh, do you live right in the city itself?\nB:No,. I'm more out in the suburbs,. but I certainly work near a city.\nA:Okay,. so Can you notice,\nB:How about you?\nA:well it's, it's,. I live in a rural area.\nB:Uh-huh.\nA:It's mainly farms and, uh, no heavy industry.. Attleboro, itself,. I live in Rhode Island.	switchboard	2
114	3	A:And, it's in the north,. I live up in the, uh, northeast corner. and Attleboro sits in just over the line, where T I's plant is,	B:Uh-huh.\nA:Um, uh, do you live right in the city itself?\nB:No,. I'm more out in the suburbs,. but I certainly work near a city.\nA:Okay,. so Can you notice,\nB:How about you?\nA:well it's, it's,. I live in a rural area.\nB:Uh-huh.\nA:It's mainly farms and, uh, no heavy industry.. Attleboro, itself,. I live in Rhode Island.\nB:Oh, I see.	switchboard	3
114	4	B:Uh-huh.	A:Um, uh, do you live right in the city itself?\nB:No,. I'm more out in the suburbs,. but I certainly work near a city.\nA:Okay,. so Can you notice,\nB:How about you?\nA:well it's, it's,. I live in a rural area.\nB:Uh-huh.\nA:It's mainly farms and, uh, no heavy industry.. Attleboro, itself,. I live in Rhode Island.\nB:Oh, I see.\nA:And, it's in the north,. I live up in the, uh, northeast corner. and Attleboro sits in just over the line, where T I's plant is,	switchboard	4
114	5	A:but there isn't a lot of heavy industry.. There's the freeways. and we get an occasional,. it depends which way the wind's blowing from Boston, cause we're like forty miles south of Boston,. so we'll pick up that.. And, uh, I've noticed over the past say, maybe five or six years, uh,. we live about twenty miles away from the state airport. and I notice that the fly patterns now of the jets are getting bigger,. they're swinging wider so that now they are coming over, over our homes.	B:No,. I'm more out in the suburbs,. but I certainly work near a city.\nA:Okay,. so Can you notice,\nB:How about you?\nA:well it's, it's,. I live in a rural area.\nB:Uh-huh.\nA:It's mainly farms and, uh, no heavy industry.. Attleboro, itself,. I live in Rhode Island.\nB:Oh, I see.\nA:And, it's in the north,. I live up in the, uh, northeast corner. and Attleboro sits in just over the line, where T I's plant is,\nB:Uh-huh.	switchboard	5
114	6	B:Uh-huh.	A:Okay,. so Can you notice,\nB:How about you?\nA:well it's, it's,. I live in a rural area.\nB:Uh-huh.\nA:It's mainly farms and, uh, no heavy industry.. Attleboro, itself,. I live in Rhode Island.\nB:Oh, I see.\nA:And, it's in the north,. I live up in the, uh, northeast corner. and Attleboro sits in just over the line, where T I's plant is,\nB:Uh-huh.\nA:but there isn't a lot of heavy industry.. There's the freeways. and we get an occasional,. it depends which way the wind's blowing from Boston, cause we're like forty miles south of Boston,. so we'll pick up that.. And, uh, I've noticed over the past say, maybe five or six years, uh,. we live about twenty miles away from the state airport. and I notice that the fly patterns now of the jets are getting bigger,. they're swinging wider so that now they are coming over, over our homes.	switchboard	6
114	7	A:And, it seems like, uh, we're catching all that residue.. I'm not sure if it's kerosene or what that's dropping.. But, other than that, you know, we don't have the, unless we're catching it from the midwest, the emissions. You know from the power plants. Um.	B:How about you?\nA:well it's, it's,. I live in a rural area.\nB:Uh-huh.\nA:It's mainly farms and, uh, no heavy industry.. Attleboro, itself,. I live in Rhode Island.\nB:Oh, I see.\nA:And, it's in the north,. I live up in the, uh, northeast corner. and Attleboro sits in just over the line, where T I's plant is,\nB:Uh-huh.\nA:but there isn't a lot of heavy industry.. There's the freeways. and we get an occasional,. it depends which way the wind's blowing from Boston, cause we're like forty miles south of Boston,. so we'll pick up that.. And, uh, I've noticed over the past say, maybe five or six years, uh,. we live about twenty miles away from the state airport. and I notice that the fly patterns now of the jets are getting bigger,. they're swinging wider so that now they are coming over, over our homes.\nB:Uh-huh.	switchboard	7
114	8	B:Yeah.. You mean like from the coal.	A:well it's, it's,. I live in a rural area.\nB:Uh-huh.\nA:It's mainly farms and, uh, no heavy industry.. Attleboro, itself,. I live in Rhode Island.\nB:Oh, I see.\nA:And, it's in the north,. I live up in the, uh, northeast corner. and Attleboro sits in just over the line, where T I's plant is,\nB:Uh-huh.\nA:but there isn't a lot of heavy industry.. There's the freeways. and we get an occasional,. it depends which way the wind's blowing from Boston, cause we're like forty miles south of Boston,. so we'll pick up that.. And, uh, I've noticed over the past say, maybe five or six years, uh,. we live about twenty miles away from the state airport. and I notice that the fly patterns now of the jets are getting bigger,. they're swinging wider so that now they are coming over, over our homes.\nB:Uh-huh.\nA:And, it seems like, uh, we're catching all that residue.. I'm not sure if it's kerosene or what that's dropping.. But, other than that, you know, we don't have the, unless we're catching it from the midwest, the emissions. You know from the power plants. Um.	switchboard	8
114	9	A:Yeah,. yeah,. we generate,. one of our, our biggest electrical plants in Rhode Island uses coal to, uh, generate electricity.	B:Uh-huh.\nA:It's mainly farms and, uh, no heavy industry.. Attleboro, itself,. I live in Rhode Island.\nB:Oh, I see.\nA:And, it's in the north,. I live up in the, uh, northeast corner. and Attleboro sits in just over the line, where T I's plant is,\nB:Uh-huh.\nA:but there isn't a lot of heavy industry.. There's the freeways. and we get an occasional,. it depends which way the wind's blowing from Boston, cause we're like forty miles south of Boston,. so we'll pick up that.. And, uh, I've noticed over the past say, maybe five or six years, uh,. we live about twenty miles away from the state airport. and I notice that the fly patterns now of the jets are getting bigger,. they're swinging wider so that now they are coming over, over our homes.\nB:Uh-huh.\nA:And, it seems like, uh, we're catching all that residue.. I'm not sure if it's kerosene or what that's dropping.. But, other than that, you know, we don't have the, unless we're catching it from the midwest, the emissions. You know from the power plants. Um.\nB:Yeah.. You mean like from the coal.	switchboard	9
